Time,Passenger,fuel_price,airplane,CPI,avg_rain
200601,2448889,1.82,115,286.9,0.02
200602,2223024,1.75,108,292.8,0.01
200603,2708778,1.88,110,292.9,0
200604,2773293,2.07,110,293.4,0.51
200605,2829000,2.07,110,294.9,2.21
200606,3071396,2.08,114,295.8,11.17
200607,3227605,2.15,116,296.5,3.52
200608,3143839,2.13,119,298.1,2.81
200609,2720100,1.81,122,299.3,8.74
200610,2834959,1.74,116,298,5.02
200611,2653887,1.73,117,296.6,0.41
200612,2698200,1.81,112,296.8,0
200701,2507430,1.65,115,298.4,0
200702,2304990,1.74,113,296.1,0
200703,2820085,1.85,113,298.9,0
200704,2869247,2.04,113,300,0.63
200705,3056934,2.04,117,301.6,3.05
200706,3263621,2.1,117,302.5,5.31
200707,3382382,2.14,119,303.7,0.72
200708,3436417,2.09,120,304.4,4.79
200709,2957530,2.27,121,305,0.52
200710,3129309,2.37,123,305.1,1.44
200711,2922500,2.67,119,306.4,0.43
200712,2903637,2.6,119,307.3,0
200801,2670053,2.61,119,309.7,0.02
200802,2595676,2.73,118,310.6,0
200803,3127387,3.12,118,304.6,0.09
200804,3029021,3.37,118,311.7,2.01
200805,3305954,3.74,118,312.5,0.96
200806,3453751,3.88,122,313.6,3.04
200807,3603946,3.89,128,314.3,8.86
200808,3612297,3.27,127,316.2,1.87
200809,3004720,3.38,119,319.5,0.33
200810,3124451,2.32,113,321.8,0.14
200811,2744485,1.88,115,321.3,0.03
200812,2962937,1.38,118,321.5,0
200901,2644539,1.47,115,318.8,0
200902,2359800,1.26,113,313.1,0.01
200903,2925918,1.27,114,310.6,0
200904,3024973,1.37,116,316.2,0.35
200905,3177100,1.49,118,311.4,2.31
200906,3419595,1.81,119,312.5,2.82
200907,3649702,1.71,122,312.2,0.9
200908,3650668,1.89,118,312.5,7.92
200909,3191526,1.75,117,313,2.76
200910,3249428,1.94,115,315.6,0.24
200911,2971484,1.99,112,315.5,0.8
200912,3074209,1.98,114,316.5,0
201001,2785466,2.05,114,317.1,0
201002,2515361,1.99,110,318.1,0
201003,3105958,2.11,110,319.1,0.28
201004,3139059,2.24,110,319.3,3.11
201005,3380355,2.06,117,315.2,0.45
201006,3612886,2.06,121,319.5,2.77
201007,3765824,2.02,119,319.2,6.66
201008,3771842,2.08,123,319.3,3.42
201009,3356365,2.11,119,319.4,2.79
201010,3490100,2.25,117,319.2,3.59
201011,3163659,2.32,111,319.1,0.95
201012,3167124,2.45,112,319.7,0.07
201101,2883810,2.62,114,320.1,0
201102,2610667,2.84,110,320.7,0.01
201103,3129205,3.13,113,321.8,0.02
201104,3200527,3.27,119,322.6,1.81
201105,3547804,3.09,121,323.9,3.1
201106,3766323,3.05,118,320.4,6.71
201107,3935589,3.13,118,325,1.55
201108,3917884,3.01,118,326,4.94
201109,3564970,2.95,117,327.7,7.02
201110,3602455,2.97,118,329.2,0.56
201111,3326859,3.05,110,330.3,1.13
201112,3441693,2.87,114,330.3,2.02
201201,3211600,3.09,113,331.1,0.08
201202,2998119,3.21,113,332.2,0.03
201203,3472440,3.26,111,332.9,0
201204,3563007,3.23,114,333.1,1.38
201205,3820570,2.97,115,333.7,1.74
201206,4107195,2.68,120,333.8,0.14
201207,4284443,2.89,118,330.4,2.68
201208,4356216,3.16,120,334.8,1.09
201209,3819379,3.19,114,335.4,5.7
201210,3844987,3.11,117,336.1,2.64
201211,3478890,2.96,113,336.7,0.02
201212,3443039,2.94,110,336,0.14
201301,3204637,3.09,107,335.7,0.01
201302,2966477,3.22,110,335.8,0.01
201303,3593364,2.97,108,337.8,0
201304,3604104,2.81,117,339.4,1.47
201305,3933016,2.73,116,340.3,4.5
201306,4146797,2.77,117,339.7,7.11
201307,4176486,2.89,116,339.7,0.49
201308,4347059,3,113,337.3,0.85
201309,3781168,2.93,116,340.3,0.97
201310,3910790,2.89,116,342.3,1.01
201311,3466878,2.83,111,341.3,0.04
201312,3814984,2.96,111,340.5,0.15
201401,3432625,2.92,112,340.7,0
201402,3078405,2.97,116,341.4,0.04
201403,3765504,2.89,114,342.1,0.39
201404,3881893,2.89,113,342.8,0
201405,4147096,2.87,115,343.2,1.26
201406,4321833,2.88,113,343.3,0.39
201407,4499221,2.82,109,343.9,0.06
201408,4524918,2.84,113,344.8,5.82
201409,3919072,2.73,110,342.2,2.95
201410,4059443,2.46,116,345.8,1.59
201411,3628786,2.3,123,346.2,0.03
201412,3855835,1.8,114,346.7,0.01
201501,3550084,1.5,121,347.4,0.08
201502,3248144,1.76,121,347.9,0.01
201503,4001521,1.63,117,348.2,0.55
201504,4021677,1.7,119,348.8,0.46
201505,4361140,1.85,125,348.6,2.29
201506,4558511,1.73,122,348.9,11.7
201507,4801148,1.54,123,348.9,0
201508,4796653,1.39,121,348.4,1.47
201509,4201394,1.39,123,347.2,0.12
201510,4374749,1.39,126,347.8,1.3
201511,4013814,1.33,119,345.8,0.09
201512,4129052,1.08,123,346.2,0.12
201601,3748529,0.93,123,346.7,0.09
201602,3543639,0.97,123,347.4,0.02
201603,4137679,1.07,125,347.9,0.09
201604,4172512,1.15,127,348.2,0
201605,4573996,1.3,129,348.8,1.43
201606,4922125,1.38,139,348.6,5.18
201607,5168724,1.27,139,348.9,7.03
201608,5110638,1.3,142,348.9,0.98
201609,4543759,1.32,138,348.4,6.83
201610,4571997,1.46,139,347.2,1.46
201611,4266481,1.36,134,347.8,0.15
201612,4343369,1.49,137,349.8,0
